id,name,parent_id,pics,url_slug,tree_print,search_visible,child_count,index_hierarchy_data
700312,"Home Health Care",7003,700312,home-health-care,"Healthcare > Health Care Providers & Related Medical Services > Home Health Care",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700312::7003::700312::home-health-care::Home Health Care"
700313,Hospitals,7003,700313,hospitals,"Healthcare > Health Care Providers & Related Medical Services > Hospitals",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700313::7003::700313::hospitals::Hospitals"
700314,"Internal Medicine Practitioners & Services",7003,700314,internal-medicine-practitioners-services,"Healthcare > Health Care Providers & Related Medical Services > Internal Medicine Practitioners & Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700314::7003::700314::internal-medicine-practitioners-services::Internal Medicine Practitioners & Services"
700315,"Kidney Dialysis Centers",7003,700315,kidney-dialysis-centers,"Healthcare > Health Care Providers & Related Medical Services > Kidney Dialysis Centers",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700315::7003::700315::kidney-dialysis-centers::Kidney Dialysis Centers"
700316,"Lab Services",7003,700316,lab-services,"Healthcare > Health Care Providers & Related Medical Services > Lab Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700316::7003::700316::lab-services::Lab Services"
700317,"Long-Term Care Facilities",7003,700317,long-term-care-facilities,"Healthcare > Health Care Providers & Related Medical Services > Long-Term Care Facilities",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700317::7003::700317::long-term-care-facilities::Long-Term Care Facilities"
700318,"Managed Health Care Plans",7003,700318,managed-health-care-plans,"Healthcare > Health Care Providers & Related Medical Services > Managed Health Care Plans",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700318::7003::700318::managed-health-care-plans::Managed Health Care Plans"
700319,"Medical & Diagnostic Laboratories",7003,700319,medical-diagnostic-laboratories,"Healthcare > Health Care Providers & Related Medical Services > Medical & Diagnostic Laboratories",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700319::7003::700319::medical-diagnostic-laboratories::Medical & Diagnostic Laboratories"
700320,"Medical Billing Services",7003,700320,medical-billing-services,"Healthcare > Health Care Providers & Related Medical Services > Medical Billing Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700320::7003::700320::medical-billing-services::Medical Billing Services"
700321,"Medical Cost Management",7003,700321,medical-cost-management,"Healthcare > Health Care Providers & Related Medical Services > Medical Cost Management",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700321::7003::700321::medical-cost-management::Medical Cost Management"
700322,"Medical Practitioners",7003,700322,medical-practitioners,"Healthcare > Health Care Providers & Related Medical Services > Medical Practitioners",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700322::7003::700322::medical-practitioners::Medical Practitioners"
700323,"Neurological Research",7003,700323,neurological-research,"Healthcare > Health Care Providers & Related Medical Services > Neurological Research",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700323::7003::700323::neurological-research::Neurological Research"
700324,"Nursing Services & Facilities",7003,700324,nursing-services-facilities,"Healthcare > Health Care Providers & Related Medical Services > Nursing Services & Facilities",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700324::7003::700324::nursing-services-facilities::Nursing Services & Facilities"
700325,"Oncological Services",7003,700325,oncological-services,"Healthcare > Health Care Providers & Related Medical Services > Oncological Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700325::7003::700325::oncological-services::Oncological Services"
700326,"Optometry Practitioners & Services",7003,700326,optometry-practitioners-services,"Healthcare > Health Care Providers & Related Medical Services > Optometry Practitioners & Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700326::7003::700326::optometry-practitioners-services::Optometry Practitioners & Services"
700327,"Osteopathy Practitioners & Services",7003,700327,osteopathy-practitioners-services,"Healthcare > Health Care Providers & Related Medical Services > Osteopathy Practitioners & Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700327::7003::700327::osteopathy-practitioners-services::Osteopathy Practitioners & Services"
700328,"Patient Transport Services",7003,700328,patient-transport-services,"Healthcare > Health Care Providers & Related Medical Services > Patient Transport Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700328::7003::700328::patient-transport-services::Patient Transport Services"
700329,"Pediatric Practitioners & Services",7003,700329,pediatric-practitioners-services,"Healthcare > Health Care Providers & Related Medical Services > Pediatric Practitioners & Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700329::7003::700329::pediatric-practitioners-services::Pediatric Practitioners & Services"
700330,"Physical Therapy Practitioners & Services",7003,700330,physical-therapy-practitioners-services,"Healthcare > Health Care Providers & Related Medical Services > Physical Therapy Practitioners & Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700330::7003::700330::physical-therapy-practitioners-services::Physical Therapy Practitioners & Services"
700331,"Podiatry Practitioners & Services",7003,700331,podiatry-practitioners-services,"Healthcare > Health Care Providers & Related Medical Services > Podiatry Practitioners & Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700331::7003::700331::podiatry-practitioners-services::Podiatry Practitioners & Services"
700332,"Psychiatric, Behavioral & Mental Health Services",7003,700332,psychiatric-behavioral-mental-health-services,"Healthcare > Health Care Providers & Related Medical Services > Psychiatric, Behavioral & Mental Health Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700332::7003::700332::psychiatric-behavioral-mental-health-services::Psychiatric, Behavioral & Mental Health Services"
700333,"Rehabilitation Centers",7003,700333,rehabilitation-centers,"Healthcare > Health Care Providers & Related Medical Services > Rehabilitation Centers",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700333::7003::700333::rehabilitation-centers::Rehabilitation Centers"
700334,"Retail Health Centers",7003,700334,retail-health-centers,"Healthcare > Health Care Providers & Related Medical Services > Retail Health Centers",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700334::7003::700334::retail-health-centers::Retail Health Centers"
700335,"Senior Care",7003,700335,senior-care,"Healthcare > Health Care Providers & Related Medical Services > Senior Care",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700335::7003::700335::senior-care::Senior Care"
700336,"Special Population Health Care Services",7003,700336,special-population-health-care-services,"Healthcare > Health Care Providers & Related Medical Services > Special Population Health Care Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700336::7003::700336::special-population-health-care-services::Special Population Health Care Services"
700337,"Specialized Health Services",7003,700337,specialized-health-services,"Healthcare > Health Care Providers & Related Medical Services > Specialized Health Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700337::7003::700337::specialized-health-services::Specialized Health Services"
700338,"Specialty Outpatient Facilities",7003,700338,specialty-outpatient-facilities,"Healthcare > Health Care Providers & Related Medical Services > Specialty Outpatient Facilities",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700338::7003::700338::specialty-outpatient-facilities::Specialty Outpatient Facilities"
700339,"Speech Therapy & Audiology Services",7003,700339,speech-therapy-audiology-services,"Healthcare > Health Care Providers & Related Medical Services > Speech Therapy & Audiology Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700339::7003::700339::speech-therapy-audiology-services::Speech Therapy & Audiology Services"
700340,"Sperm Banks",7003,700340,sperm-banks,"Healthcare > Health Care Providers & Related Medical Services > Sperm Banks",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700340::7003::700340::sperm-banks::Sperm Banks"
700341,"Veterinary Services & Animal Hospitals",7003,700341,veterinary-services-animal-hospitals,"Healthcare > Health Care Providers & Related Medical Services > Veterinary Services & Animal Hospitals",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700341::7003::700341::veterinary-services-animal-hospitals::Veterinary Services & Animal Hospitals"
700342,"Cosmetic/Plastic Surgery Services",7003,700342,cosmetic-plastic-surgery-services,"Healthcare > Health Care Providers & Related Medical Services > Cosmetic/Plastic Surgery Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700342::7003::700342::cosmetic-plastic-surgery-services::Cosmetic/Plastic Surgery Services"
700343,Dermatologists,7003,700343,dermatologists,"Healthcare > Health Care Providers & Related Medical Services > Dermatologists",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700343::7003::700343::dermatologists::Dermatologists"
700345,"Travel Immunization & Vaccine Services",7003,700345,travel-immunization-vaccine-services,"Healthcare > Health Care Providers & Related Medical Services > Travel Immunization & Vaccine Services",Yes,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700345::7003::700345::travel-immunization-vaccine-services::Travel Immunization & Vaccine Services"
700399,"Other Medical Services",7003,700399,other-medical-services,"Healthcare > Health Care Providers & Related Medical Services > Other Medical Services",No,0,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services|700399::7003::700399::other-medical-services::Other Medical Services"
700401,"Electronic Medical Records & Practice Management Services",7004,700401,electronic-medical-records-practice-management-services,"Healthcare > Health Information Technology > Electronic Medical Records & Practice Management Services",Yes,0,"700::0::700::healthcare::Healthcare|7004::700::7004::health-information-technology::Health Information Technology|700401::7004::700401::electronic-medical-records-practice-management-services::Electronic Medical Records & Practice Management Services"
