id,name,parent_id,pics,url_slug,tree_print,search_visible,child_count,index_hierarchy_data
100,"Agriculture, Fishing, Forestry & Hunting",0,100,agriculture-fishing-forestry-hunting,"Agriculture, Fishing, Forestry & Hunting",Yes,10,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting"
200,"Clean Energy Technology",0,200,clean-energy-technology,"Clean Energy Technology",Yes,11,"200::0::200::clean-energy-technology::Clean Energy Technology"
300,"Construction & Real Estate",0,300,construction-real-estate,"Construction & Real Estate",Yes,3,"300::0::300::construction-real-estate::Construction & Real Estate"
400,"Consumer Products",0,400,consumer-products,"Consumer Products",Yes,27,"400::0::400::consumer-products::Consumer Products"
500,"Energy & Utilities (Traditional)",0,500,energy-utilities-traditional,"Energy & Utilities (Traditional)",Yes,7,"500::0::500::energy-utilities-traditional::Energy & Utilities (Traditional)"
600,Financial,0,600,financial,Financial,Yes,9,600::0::600::financial::Financial
700,Healthcare,0,700,healthcare,Healthcare,Yes,10,700::0::700::healthcare::Healthcare
800,"Hospitality & Leisure",0,800,hospitality-leisure,"Hospitality & Leisure",Yes,9,"800::0::800::hospitality-leisure::Hospitality & Leisure"
900,Internet,0,900,internet,Internet,Yes,4,900::0::900::internet::Internet
1000,"Manufacturing & Industrial",0,1000,manufacturing-industrial,"Manufacturing & Industrial",Yes,21,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial"
1001,Agribusiness,100,1001,agribusiness,"Agriculture, Fishing, Forestry & Hunting > Agribusiness",Yes,1,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting|1001::100::1001::agribusiness::Agribusiness"
1002,"Agricultural Services",100,1002,agricultural-services,"Agriculture, Fishing, Forestry & Hunting > Agricultural Services",Yes,3,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting|1002::100::1002::agricultural-services::Agricultural Services"
1003,"Agricultural Technology",100,1003,agricultural-technology,"Agriculture, Fishing, Forestry & Hunting > Agricultural Technology",Yes,3,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting|1003::100::1003::agricultural-technology::Agricultural Technology"
1004,"Agriculture Farm Machinery & Support",100,1004,agriculture-farm-machinery-support,"Agriculture, Fishing, Forestry & Hunting > Agriculture Farm Machinery & Support",Yes,1,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting|1004::100::1004::agriculture-farm-machinery-support::Agriculture Farm Machinery & Support"
1005,"Animal Production, Livestock & Animal Feed",100,1005,animal-production-livestock-animal-feed,"Agriculture, Fishing, Forestry & Hunting > Animal Production, Livestock & Animal Feed",Yes,9,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting|1005::100::1005::animal-production-livestock-animal-feed::Animal Production, Livestock & Animal Feed"
1006,"Commercial Fishing",100,1006,commercial-fishing,"Agriculture, Fishing, Forestry & Hunting > Commercial Fishing",Yes,5,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting|1006::100::1006::commercial-fishing::Commercial Fishing"
1007,"Crop Production",100,1007,crop-production,"Agriculture, Fishing, Forestry & Hunting > Crop Production",Yes,21,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting|1007::100::1007::crop-production::Crop Production"
1008,"Forestry & Logging",100,1008,forestry-logging,"Agriculture, Fishing, Forestry & Hunting > Forestry & Logging",Yes,5,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting|1008::100::1008::forestry-logging::Forestry & Logging"
1009,"Hunting & Trapping",100,1009,hunting-trapping,"Agriculture, Fishing, Forestry & Hunting > Hunting & Trapping",Yes,1,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting|1009::100::1009::hunting-trapping::Hunting & Trapping"
1100,Media,0,1100,media,Media,Yes,8,1100::0::1100::media::Media
1200,Retail,0,1200,retail,Retail,Yes,17,1200::0::1200::retail::Retail
1300,Services,0,1300,services,Services,Yes,36,1300::0::1300::services::Services
1400,"Social Services & Organizations",0,1400,social-services-organizations,"Social Services & Organizations",Yes,3,"1400::0::1400::social-services-organizations::Social Services & Organizations"
1500,Technology,0,1500,technology,Technology,Yes,16,1500::0::1500::technology::Technology
1600,"Transportation, Warehousing & Wholesale Distribution",0,1600,transportation-warehousing-wholesale-distribution,"Transportation, Warehousing & Wholesale Distribution",Yes,12,"1600::0::1600::transportation-warehousing-wholesale-distribution::Transportation, Warehousing & Wholesale Distribution"
2001,"Batteries & Energy Storage",200,2001,batteries-energy-storage,"Clean Energy Technology > Batteries & Energy Storage",Yes,10,"200::0::200::clean-energy-technology::Clean Energy Technology|2001::200::2001::batteries-energy-storage::Batteries & Energy Storage"
2002,Biofuels,200,2002,biofuels,"Clean Energy Technology > Biofuels",Yes,7,"200::0::200::clean-energy-technology::Clean Energy Technology|2002::200::2002::biofuels::Biofuels"
2003,"Energy Conservation",200,2003,energy-conservation,"Clean Energy Technology > Energy Conservation",Yes,10,"200::0::200::clean-energy-technology::Clean Energy Technology|2003::200::2003::energy-conservation::Energy Conservation"
2004,"Geothermal Power",200,2004,geothermal-power,"Clean Energy Technology > Geothermal Power",Yes,7,"200::0::200::clean-energy-technology::Clean Energy Technology|2004::200::2004::geothermal-power::Geothermal Power"
2005,"Green Transportation",200,2005,green-transportation,"Clean Energy Technology > Green Transportation",Yes,3,"200::0::200::clean-energy-technology::Clean Energy Technology|2005::200::2005::green-transportation::Green Transportation"
2006,"Hydrogen Power",200,2006,hydrogen-power,"Clean Energy Technology > Hydrogen Power",Yes,1,"200::0::200::clean-energy-technology::Clean Energy Technology|2006::200::2006::hydrogen-power::Hydrogen Power"
2007,"Hydropower Energy",200,2007,hydropower-energy,"Clean Energy Technology > Hydropower Energy",Yes,5,"200::0::200::clean-energy-technology::Clean Energy Technology|2007::200::2007::hydropower-energy::Hydropower Energy"
2008,"Smart Grid",200,2008,smart-grid,"Clean Energy Technology > Smart Grid",Yes,14,"200::0::200::clean-energy-technology::Clean Energy Technology|2008::200::2008::smart-grid::Smart Grid"
2009,"Solar Energy",200,2009,solar-energy,"Clean Energy Technology > Solar Energy",Yes,9,"200::0::200::clean-energy-technology::Clean Energy Technology|2009::200::2009::solar-energy::Solar Energy"
2010,"Wind Energy",200,2010,wind-energy,"Clean Energy Technology > Wind Energy",Yes,4,"200::0::200::clean-energy-technology::Clean Energy Technology|2010::200::2010::wind-energy::Wind Energy"
3001,"Construction ",300,3001,construction-,"Construction & Real Estate > Construction ",Yes,19,"300::0::300::construction-real-estate::Construction & Real Estate|3001::300::3001::construction-::Construction "
3002,"Real Estate",300,3002,real-estate,"Construction & Real Estate > Real Estate",Yes,10,"300::0::300::construction-real-estate::Construction & Real Estate|3002::300::3002::real-estate::Real Estate"
4001,"Apparel, Footwear & Accessories",400,4001,apparel-footwear-accessories,"Consumer Products > Apparel, Footwear & Accessories",Yes,19,"400::0::400::consumer-products::Consumer Products|4001::400::4001::apparel-footwear-accessories::Apparel, Footwear & Accessories"
4002,Appliances,400,4002,appliances,"Consumer Products > Appliances",Yes,10,"400::0::400::consumer-products::Consumer Products|4002::400::4002::appliances::Appliances"
4003,"Automobiles, Trucks & Auto Parts",400,4003,automobiles-trucks-auto-parts,"Consumer Products > Automobiles, Trucks & Auto Parts",Yes,4,"400::0::400::consumer-products::Consumer Products|4003::400::4003::automobiles-trucks-auto-parts::Automobiles, Trucks & Auto Parts"
4004,Beverages,400,4004,beverages,"Consumer Products > Beverages",Yes,9,"400::0::400::consumer-products::Consumer Products|4004::400::4004::beverages::Beverages"
4005,"Child & Baby Products",400,4005,child-baby-products,"Consumer Products > Child & Baby Products",Yes,6,"400::0::400::consumer-products::Consumer Products|4005::400::4005::child-baby-products::Child & Baby Products"
4006,"Cleaning Products",400,4006,cleaning-products,"Consumer Products > Cleaning Products",Yes,4,"400::0::400::consumer-products::Consumer Products|4006::400::4006::cleaning-products::Cleaning Products"
4007,"Collectibles, Giftware & Commemorative Products",400,4007,collectibles-giftware-commemorative-products,"Consumer Products > Collectibles, Giftware & Commemorative Products",Yes,2,"400::0::400::consumer-products::Consumer Products|4007::400::4007::collectibles-giftware-commemorative-products::Collectibles, Giftware & Commemorative Products"
4008,"Consumer Electronics",400,4008,consumer-electronics,"Consumer Products > Consumer Electronics",Yes,19,"400::0::400::consumer-products::Consumer Products|4008::400::4008::consumer-electronics::Consumer Electronics"
4009,"Crafts & Handmade Goods",400,4009,crafts-handmade-goods,"Consumer Products > Crafts & Handmade Goods",Yes,1,"400::0::400::consumer-products::Consumer Products|4009::400::4009::crafts-handmade-goods::Crafts & Handmade Goods"
4010,"Dinnerware, Cookware, Flatware, Knives & Cutlery",400,4010,dinnerware-cookware-flatware-knives-cutlery,"Consumer Products > Dinnerware, Cookware, Flatware, Knives & Cutlery",Yes,1,"400::0::400::consumer-products::Consumer Products|4010::400::4010::dinnerware-cookware-flatware-knives-cutlery::Dinnerware, Cookware, Flatware, Knives & Cutlery"
4011,Food,400,4011,food,"Consumer Products > Food",Yes,16,"400::0::400::consumer-products::Consumer Products|4011::400::4011::food::Food"
4012,"House & Home Products",400,4012,house-home-products,"Consumer Products > House & Home Products",Yes,5,"400::0::400::consumer-products::Consumer Products|4012::400::4012::house-home-products::House & Home Products"
4013,Jewelry,400,4013,jewelry,"Consumer Products > Jewelry",Yes,2,"400::0::400::consumer-products::Consumer Products|4013::400::4013::jewelry::Jewelry"
4014,"Musical Equipment & Instruments",400,4014,musical-equipment-instruments,"Consumer Products > Musical Equipment & Instruments",Yes,7,"400::0::400::consumer-products::Consumer Products|4014::400::4014::musical-equipment-instruments::Musical Equipment & Instruments"
4015,"Packaging & Containers",400,4015,packaging-containers,"Consumer Products > Packaging & Containers",Yes,3,"400::0::400::consumer-products::Consumer Products|4015::400::4015::packaging-containers::Packaging & Containers"
4016,"Personal Products",400,4016,personal-products,"Consumer Products > Personal Products",Yes,7,"400::0::400::consumer-products::Consumer Products|4016::400::4016::personal-products::Personal Products"
4017,"Pet Products & Apparel",400,4017,pet-products-apparel,"Consumer Products > Pet Products & Apparel",Yes,5,"400::0::400::consumer-products::Consumer Products|4017::400::4017::pet-products-apparel::Pet Products & Apparel"
4018,"Photographic Equipment & Supplies",400,4018,photographic-equipment-supplies,"Consumer Products > Photographic Equipment & Supplies",Yes,1,"400::0::400::consumer-products::Consumer Products|4018::400::4018::photographic-equipment-supplies::Photographic Equipment & Supplies"
4019,"Safety & Protection Products",400,4019,safety-protection-products,"Consumer Products > Safety & Protection Products",Yes,1,"400::0::400::consumer-products::Consumer Products|4019::400::4019::safety-protection-products::Safety & Protection Products"
4020,"Senior Products",400,4020,senior-products,"Consumer Products > Senior Products",Yes,1,"400::0::400::consumer-products::Consumer Products|4020::400::4020::senior-products::Senior Products"
4021,"Special Needs & Disability Products",400,4021,special-needs-disability-products,"Consumer Products > Special Needs & Disability Products",Yes,3,"400::0::400::consumer-products::Consumer Products|4021::400::4021::special-needs-disability-products::Special Needs & Disability Products"
4022,"Sporting Goods & Equipment",400,4022,sporting-goods-equipment,"Consumer Products > Sporting Goods & Equipment",Yes,6,"400::0::400::consumer-products::Consumer Products|4022::400::4022::sporting-goods-equipment::Sporting Goods & Equipment"
4023,"Tobacco Products",400,4023,tobacco-products,"Consumer Products > Tobacco Products",Yes,4,"400::0::400::consumer-products::Consumer Products|4023::400::4023::tobacco-products::Tobacco Products"
4024,"Toys & Games",400,4024,toys-games,"Consumer Products > Toys & Games",Yes,4,"400::0::400::consumer-products::Consumer Products|4024::400::4024::toys-games::Toys & Games"
4025,"Travel Supplies",400,4025,travel-supplies,"Consumer Products > Travel Supplies",Yes,2,"400::0::400::consumer-products::Consumer Products|4025::400::4025::travel-supplies::Travel Supplies"
4026,"Misc. Consumer Products",400,4026,misc-consumer-products,"Consumer Products > Misc. Consumer Products",Yes,4,"400::0::400::consumer-products::Consumer Products|4026::400::4026::misc-consumer-products::Misc. Consumer Products"
5001,"Coal ",500,5001,coal-,"Energy & Utilities (Traditional) > Coal ",Yes,5,"500::0::500::energy-utilities-traditional::Energy & Utilities (Traditional)|5001::500::5001::coal-::Coal "
5002,"Equipment And Services",500,5002,equipment-and-services,"Energy & Utilities (Traditional) > Equipment And Services",Yes,4,"500::0::500::energy-utilities-traditional::Energy & Utilities (Traditional)|5002::500::5002::equipment-and-services::Equipment And Services"
5003,"Integrated Oil And Natural Gas ",500,5003,integrated-oil-and-natural-gas-,"Energy & Utilities (Traditional) > Integrated Oil And Natural Gas ",Yes,8,"500::0::500::energy-utilities-traditional::Energy & Utilities (Traditional)|5003::500::5003::integrated-oil-and-natural-gas-::Integrated Oil And Natural Gas "
5004,"Non-Utilities ",500,5004,non-utilities-,"Energy & Utilities (Traditional) > Non-Utilities ",Yes,5,"500::0::500::energy-utilities-traditional::Energy & Utilities (Traditional)|5004::500::5004::non-utilities-::Non-Utilities "
5005,Nuclear,500,5005,nuclear,"Energy & Utilities (Traditional) > Nuclear",Yes,9,"500::0::500::energy-utilities-traditional::Energy & Utilities (Traditional)|5005::500::5005::nuclear::Nuclear"
5006,"Utilities ",500,5006,utilities-,"Energy & Utilities (Traditional) > Utilities ",Yes,6,"500::0::500::energy-utilities-traditional::Energy & Utilities (Traditional)|5006::500::5006::utilities-::Utilities "
6001,Banking,600,6001,banking,"Financial > Banking",Yes,6,600::0::600::financial::Financial|6001::600::6001::banking::Banking
6002,"Commercial Financial Services",600,6002,commercial-financial-services,"Financial > Commercial Financial Services",Yes,25,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services"
6003,"Consumer Financial Services",600,6003,consumer-financial-services,"Financial > Consumer Financial Services",Yes,13,"600::0::600::financial::Financial|6003::600::6003::consumer-financial-services::Consumer Financial Services"
6004,Insurance,600,6004,insurance,"Financial > Insurance",Yes,15,600::0::600::financial::Financial|6004::600::6004::insurance::Insurance
6005,"Investment Management",600,6005,investment-management,"Financial > Investment Management",Yes,4,"600::0::600::financial::Financial|6005::600::6005::investment-management::Investment Management"
6006,Lending,600,6006,lending,"Financial > Lending",Yes,5,600::0::600::financial::Financial|6006::600::6006::lending::Lending
6007,"Trading & Brokerage",600,6007,trading-brokerage,"Financial > Trading & Brokerage",Yes,7,"600::0::600::financial::Financial|6007::600::6007::trading-brokerage::Trading & Brokerage"
6008,"Commodities Trading",600,6008,commodities-trading,"Financial > Commodities Trading",Yes,1,"600::0::600::financial::Financial|6008::600::6008::commodities-trading::Commodities Trading"
7001,"Alternative Medicine",700,7001,alternative-medicine,"Healthcare > Alternative Medicine",Yes,1,"700::0::700::healthcare::Healthcare|7001::700::7001::alternative-medicine::Alternative Medicine"
7002,"Clinical Research Services",700,7002,clinical-research-services,"Healthcare > Clinical Research Services",Yes,1,"700::0::700::healthcare::Healthcare|7002::700::7002::clinical-research-services::Clinical Research Services"
7003,"Health Care Providers & Related Medical Services",700,7003,health-care-providers-related-medical-services,"Healthcare > Health Care Providers & Related Medical Services",Yes,45,"700::0::700::healthcare::Healthcare|7003::700::7003::health-care-providers-related-medical-services::Health Care Providers & Related Medical Services"
7004,"Health Information Technology",700,7004,health-information-technology,"Healthcare > Health Information Technology",Yes,2,"700::0::700::healthcare::Healthcare|7004::700::7004::health-information-technology::Health Information Technology"
7005,"Medical Devices & Equipment",700,7005,medical-devices-equipment,"Healthcare > Medical Devices & Equipment",Yes,13,"700::0::700::healthcare::Healthcare|7005::700::7005::medical-devices-equipment::Medical Devices & Equipment"
7006,"Medical Imaging",700,7006,medical-imaging,"Healthcare > Medical Imaging",Yes,4,"700::0::700::healthcare::Healthcare|7006::700::7006::medical-imaging::Medical Imaging"
7007,"Optical/Ophthalmic Products & Services ",700,7007,optical-ophthalmic-products-services-,"Healthcare > Optical/Ophthalmic Products & Services ",Yes,4,"700::0::700::healthcare::Healthcare|7007::700::7007::optical-ophthalmic-products-services-::Optical/Ophthalmic Products & Services "
7008,Pharmaceuticals,700,7008,pharmaceuticals,"Healthcare > Pharmaceuticals",Yes,6,700::0::700::healthcare::Healthcare|7008::700::7008::pharmaceuticals::Pharmaceuticals
7009,"Supplementary Medicine & Nutrition",700,7009,supplementary-medicine-nutrition,"Healthcare > Supplementary Medicine & Nutrition",Yes,2,"700::0::700::healthcare::Healthcare|7009::700::7009::supplementary-medicine-nutrition::Supplementary Medicine & Nutrition"
8001,"Athletics & Recreation",800,8001,athletics-recreation,"Hospitality & Leisure > Athletics & Recreation",Yes,8,"800::0::800::hospitality-leisure::Hospitality & Leisure|8001::800::8001::athletics-recreation::Athletics & Recreation"
8002,Gaming,800,8002,gaming,"Hospitality & Leisure > Gaming",Yes,3,"800::0::800::hospitality-leisure::Hospitality & Leisure|8002::800::8002::gaming::Gaming"
8003,"General Entertainment",800,8003,general-entertainment,"Hospitality & Leisure > General Entertainment",Yes,8,"800::0::800::hospitality-leisure::Hospitality & Leisure|8003::800::8003::general-entertainment::General Entertainment"
8004,Lodging,800,8004,lodging,"Hospitality & Leisure > Lodging",Yes,9,"800::0::800::hospitality-leisure::Hospitality & Leisure|8004::800::8004::lodging::Lodging"
8005,"Museums, Historical Sites, & Similar Institutions",800,8005,museums-historical-sites-similar-institutions,"Hospitality & Leisure > Museums, Historical Sites, & Similar Institutions",Yes,6,"800::0::800::hospitality-leisure::Hospitality & Leisure|8005::800::8005::museums-historical-sites-similar-institutions::Museums, Historical Sites, & Similar Institutions"
8006,"Performing Arts",800,8006,performing-arts,"Hospitality & Leisure > Performing Arts",Yes,7,"800::0::800::hospitality-leisure::Hospitality & Leisure|8006::800::8006::performing-arts::Performing Arts"
8007,Restaurants,800,8007,restaurants,"Hospitality & Leisure > Restaurants",Yes,14,"800::0::800::hospitality-leisure::Hospitality & Leisure|8007::800::8007::restaurants::Restaurants"
8008,"Sports & Sports Teams",800,8008,sports-sports-teams,"Hospitality & Leisure > Sports & Sports Teams",Yes,14,"800::0::800::hospitality-leisure::Hospitality & Leisure|8008::800::8008::sports-sports-teams::Sports & Sports Teams"
9001,E-Commerce,900,9001,e-commerce,"Internet > E-Commerce",Yes,47,900::0::900::internet::Internet|9001::900::9001::e-commerce::E-Commerce
9002,"Internet Content Providers",900,9002,internet-content-providers,"Internet > Internet Content Providers",Yes,5,"900::0::900::internet::Internet|9002::900::9002::internet-content-providers::Internet Content Providers"
9003,"Internet Services",900,9003,internet-services,"Internet > Internet Services",Yes,31,"900::0::900::internet::Internet|9003::900::9003::internet-services::Internet Services"
10001,"Aerospace & Defense",1000,10001,aerospace-defense,"Manufacturing & Industrial > Aerospace & Defense",Yes,7,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10001::1000::10001::aerospace-defense::Aerospace & Defense"
10002,"Apparel Manufacturing",1000,10002,apparel-manufacturing,"Manufacturing & Industrial > Apparel Manufacturing",Yes,13,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10002::1000::10002::apparel-manufacturing::Apparel Manufacturing"
10003,"Chemical Manufacturing",1000,10003,chemical-manufacturing,"Manufacturing & Industrial > Chemical Manufacturing",Yes,20,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10003::1000::10003::chemical-manufacturing::Chemical Manufacturing"
10004,"Computers, Electronic Products & Components Manufacturing",1000,10004,computers-electronic-products-components-manufacturing,"Manufacturing & Industrial > Computers, Electronic Products & Components Manufacturing",Yes,24,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10004::1000::10004::computers-electronic-products-components-manufacturing::Computers, Electronic Products & Components Manufacturing"
10005,"Electrical Equipment & Appliances Manufacturing",1000,10005,electrical-equipment-appliances-manufacturing,"Manufacturing & Industrial > Electrical Equipment & Appliances Manufacturing",Yes,11,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10005::1000::10005::electrical-equipment-appliances-manufacturing::Electrical Equipment & Appliances Manufacturing"
10006,"Explosives, Firearms, Weaponry & Accessories",1000,10006,explosives-firearms-weaponry-accessories,"Manufacturing & Industrial > Explosives, Firearms, Weaponry & Accessories",Yes,8,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10006::1000::10006::explosives-firearms-weaponry-accessories::Explosives, Firearms, Weaponry & Accessories"
10007,"Fabricated Metal Product & Component Manufacturing",1000,10007,fabricated-metal-product-component-manufacturing,"Manufacturing & Industrial > Fabricated Metal Product & Component Manufacturing",Yes,34,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10007::1000::10007::fabricated-metal-product-component-manufacturing::Fabricated Metal Product & Component Manufacturing"
10008,"Food & Beverages Manufacturing",1000,10008,food-beverages-manufacturing,"Manufacturing & Industrial > Food & Beverages Manufacturing",Yes,30,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10008::1000::10008::food-beverages-manufacturing::Food & Beverages Manufacturing"
10009,"Furniture & Fixtures Manufacturing",1000,10009,furniture-fixtures-manufacturing,"Manufacturing & Industrial > Furniture & Fixtures Manufacturing",Yes,11,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10009::1000::10009::furniture-fixtures-manufacturing::Furniture & Fixtures Manufacturing"
10010,"Machinery & Tools Manufacturing",1000,10010,machinery-tools-manufacturing,"Manufacturing & Industrial > Machinery & Tools Manufacturing",Yes,33,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10010::1000::10010::machinery-tools-manufacturing::Machinery & Tools Manufacturing"
10011,"Mining & Refining",1000,10011,mining-refining,"Manufacturing & Industrial > Mining & Refining",Yes,4,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10011::1000::10011::mining-refining::Mining & Refining"
10012,"Miscellaneous Manufacturing",1000,10012,miscellaneous-manufacturing,"Manufacturing & Industrial > Miscellaneous Manufacturing",Yes,15,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10012::1000::10012::miscellaneous-manufacturing::Miscellaneous Manufacturing"
10013,"Petroleum & Coal Products Manufacturing",1000,10013,petroleum-coal-products-manufacturing,"Manufacturing & Industrial > Petroleum & Coal Products Manufacturing",Yes,4,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10013::1000::10013::petroleum-coal-products-manufacturing::Petroleum & Coal Products Manufacturing"
10014,"Plastic And Rubber Products Manufacturing",1000,10014,plastic-and-rubber-products-manufacturing,"Manufacturing & Industrial > Plastic And Rubber Products Manufacturing",Yes,12,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10014::1000::10014::plastic-and-rubber-products-manufacturing::Plastic And Rubber Products Manufacturing"
10015,"Pulp, Paper & Paper Products Manufacturing",1000,10015,pulp-paper-paper-products-manufacturing,"Manufacturing & Industrial > Pulp, Paper & Paper Products Manufacturing",Yes,7,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10015::1000::10015::pulp-paper-paper-products-manufacturing::Pulp, Paper & Paper Products Manufacturing"
10016,"Stone, Clay, Glass & Concrete Product Manufacturing",1000,10016,stone-clay-glass-concrete-product-manufacturing,"Manufacturing & Industrial > Stone, Clay, Glass & Concrete Product Manufacturing",Yes,10,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10016::1000::10016::stone-clay-glass-concrete-product-manufacturing::Stone, Clay, Glass & Concrete Product Manufacturing"
10017,"Textiles Manufacturing",1000,10017,textiles-manufacturing,"Manufacturing & Industrial > Textiles Manufacturing",Yes,21,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10017::1000::10017::textiles-manufacturing::Textiles Manufacturing"
10018,"Tobacco Manufacturing",1000,10018,tobacco-manufacturing,"Manufacturing & Industrial > Tobacco Manufacturing",Yes,5,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10018::1000::10018::tobacco-manufacturing::Tobacco Manufacturing"
10019,"Transportation Equipment Manufacturing",1000,10019,transportation-equipment-manufacturing,"Manufacturing & Industrial > Transportation Equipment Manufacturing",Yes,13,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10019::1000::10019::transportation-equipment-manufacturing::Transportation Equipment Manufacturing"
10020,"Wood Product Manufacturing",1000,10020,wood-product-manufacturing,"Manufacturing & Industrial > Wood Product Manufacturing",Yes,12,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial|10020::1000::10020::wood-product-manufacturing::Wood Product Manufacturing"
11001,Broadcasting,1100,11001,broadcasting,"Media > Broadcasting",Yes,6,1100::0::1100::media::Media|11001::1100::11001::broadcasting::Broadcasting
11002,Education,1100,11002,education,"Media > Education",Yes,7,1100::0::1100::media::Media|11002::1100::11002::education::Education
11003,Music,1100,11003,music,"Media > Music",Yes,6,1100::0::1100::media::Media|11003::1100::11003::music::Music
11004,Publishing,1100,11004,publishing,"Media > Publishing",Yes,12,1100::0::1100::media::Media|11004::1100::11004::publishing::Publishing
11005,"Talent Management",1100,11005,talent-management,"Media > Talent Management",Yes,4,"1100::0::1100::media::Media|11005::1100::11005::talent-management::Talent Management"
11006,"Tradeshows & Live Events",1100,11006,tradeshows-live-events,"Media > Tradeshows & Live Events",Yes,2,"1100::0::1100::media::Media|11006::1100::11006::tradeshows-live-events::Tradeshows & Live Events"
11007,"Visual Media",1100,11007,visual-media,"Media > Visual Media",Yes,11,"1100::0::1100::media::Media|11007::1100::11007::visual-media::Visual Media"
12001,"Apparel & Accessories Retail",1200,12001,apparel-accessories-retail,"Retail > Apparel & Accessories Retail",Yes,9,"1200::0::1200::retail::Retail|12001::1200::12001::apparel-accessories-retail::Apparel & Accessories Retail"
12002,"Building Materials, Hardware & Home Improvement ",1200,12002,building-materials-hardware-home-improvement-,"Retail > Building Materials, Hardware & Home Improvement ",Yes,6,"1200::0::1200::retail::Retail|12002::1200::12002::building-materials-hardware-home-improvement-::Building Materials, Hardware & Home Improvement "
12003,"Direct Sales",1200,12003,direct-sales,"Retail > Direct Sales",Yes,1,"1200::0::1200::retail::Retail|12003::1200::12003::direct-sales::Direct Sales"
12004,"Electronics, Appliances & Computer Retail",1200,12004,electronics-appliances-computer-retail,"Retail > Electronics, Appliances & Computer Retail",Yes,7,"1200::0::1200::retail::Retail|12004::1200::12004::electronics-appliances-computer-retail::Electronics, Appliances & Computer Retail"
12005,"Food & Beverage Stores",1200,12005,food-beverage-stores,"Retail > Food & Beverage Stores",Yes,10,"1200::0::1200::retail::Retail|12005::1200::12005::food-beverage-stores::Food & Beverage Stores"
12006,"Furniture & Furnishings Retail",1200,12006,furniture-furnishings-retail,"Retail > Furniture & Furnishings Retail",Yes,8,"1200::0::1200::retail::Retail|12006::1200::12006::furniture-furnishings-retail::Furniture & Furnishings Retail"
12007,"Gasoline Stations",1200,12007,gasoline-stations,"Retail > Gasoline Stations",Yes,2,"1200::0::1200::retail::Retail|12007::1200::12007::gasoline-stations::Gasoline Stations"
12008,"General Merchandise Stores",1200,12008,general-merchandise-stores,"Retail > General Merchandise Stores",Yes,5,"1200::0::1200::retail::Retail|12008::1200::12008::general-merchandise-stores::General Merchandise Stores"
12009,"Hobby & Recreation Supplies Retail",1200,12009,hobby-recreation-supplies-retail,"Retail > Hobby & Recreation Supplies Retail",Yes,7,"1200::0::1200::retail::Retail|12009::1200::12009::hobby-recreation-supplies-retail::Hobby & Recreation Supplies Retail"
12010,"Jewelry Retail",1200,12010,jewelry-retail,"Retail > Jewelry Retail",Yes,2,"1200::0::1200::retail::Retail|12010::1200::12010::jewelry-retail::Jewelry Retail"
12011,"Media Entertainment Retail",1200,12011,media-entertainment-retail,"Retail > Media Entertainment Retail",Yes,5,"1200::0::1200::retail::Retail|12011::1200::12011::media-entertainment-retail::Media Entertainment Retail"
